N,Triton (GB/s),PyTorch (GB/s)
256.000000,560.770105,648.481837
384.000000,627.373028,686.400546
512.000000,663.288546,674.980176
640.000000,687.543238,697.406387
768.000000,706.327059,706.048597
896.000000,721.408751,738.800961
1024.000000,728.532098,745.754188
1152.000000,744.679074,760.759807
1280.000000,747.214392,759.715794
1408.000000,755.120034,763.830715
1536.000000,761.355049,769.669818
1664.000000,769.168076,765.153911
1792.000000,770.999081,765.780690
1920.000000,769.156700,768.700262
2048.000000,780.057084,767.362354
2176.000000,764.195992,612.161710
2304.000000,764.774961,626.216713
2432.000000,772.234087,665.243912
2560.000000,777.094088,690.504424
2688.000000,778.887530,704.173428
2816.000000,778.479906,718.802909
2944.000000,780.701808,731.059650
3072.000000,781.758806,751.236915
3200.000000,788.709157,730.859448
3328.000000,786.804270,755.278772
3456.000000,790.060981,762.842089
3584.000000,788.399079,774.161651
3712.000000,790.096528,784.070955
3840.000000,791.782357,793.213985
3968.000000,792.402601,798.099709
4096.000000,796.169930,807.956469
4224.000000,788.818496,795.320531
4352.000000,791.102776,810.394723
4480.000000,794.045768,803.793255
4608.000000,795.628200,797.799597
4736.000000,796.792662,798.229889
4864.000000,795.227250,798.047315
4992.000000,796.512860,797.190422
5120.000000,798.494305,753.865045
5248.000000,759.542049,797.578430
5376.000000,797.188886,797.794952
5504.000000,798.776849,797.914020
5632.000000,799.810652,798.450404
5760.000000,801.900749,797.074927
5888.000000,800.313959,798.898851
6016.000000,802.182633,799.406548
6144.000000,802.888948,798.651944
6272.000000,804.855147,799.096773
6400.000000,804.001804,798.663838
6528.000000,802.710780,799.237401
6656.000000,804.318063,798.332947
6784.000000,804.275292,801.027543
6912.000000,805.029630,800.515305
7040.000000,803.975764,799.119722
7168.000000,803.794103,799.422084
7296.000000,805.664477,756.996789
7424.000000,759.956336,794.313906
7552.000000,805.118934,801.072962
7680.000000,807.803230,799.770054
7808.000000,806.805042,801.739419
7936.000000,808.242506,799.664154
8064.000000,806.643433,801.652821
8192.000000,807.071617,799.424615
8320.000000,792.166265,799.967977
8448.000000,791.184373,801.076599
8576.000000,791.378298,799.407212
8704.000000,789.418360,801.635062
8832.000000,792.170489,800.623067
8960.000000,791.225488,802.340801
9088.000000,792.471337,801.241908
9216.000000,747.134698,784.376593
9344.000000,793.149953,799.639419
9472.000000,791.968947,801.625549
9600.000000,792.372989,801.650390
9728.000000,792.768449,803.450042
9856.000000,792.982276,803.425011
9984.000000,792.898505,804.815809
10112.000000,793.065880,803.098877
10240.000000,793.724124,804.327694
10368.000000,792.907190,805.456696
10496.000000,793.631296,805.405202
10624.000000,792.980863,806.703595
10752.000000,791.885389,805.879133
10880.000000,794.174518,763.938853
11008.000000,771.402555,807.102044
11136.000000,793.975722,806.221858
11264.000000,794.422353,807.701618
11392.000000,794.483536,808.150187
11520.000000,793.071807,807.494249
11648.000000,794.402419,808.807781
11776.000000,794.618915,807.715642
11904.000000,794.282254,809.343411
12032.000000,794.215891,808.742076
12160.000000,794.494987,809.221079
12288.000000,794.511302,790.795672
12416.000000,794.278968,719.100538
12544.000000,794.921484,709.044104
12672.000000,779.112641,701.664715
